x,y,u_x,u_y
0.9655116310230432,0.21923203026982646,4.909058000703105e-05,2.1613436919784218e-05
0.9656513598465587,0.65625,4.8858537949675866e-05,6.556001794200425e-05
0.604076347990598,0.7973984619161911,3.405492348234232e-05,9.252286748062252e-05
0.17909973125678716,0.4520587489135627,7.342071544181921e-06,4.444208888079542e-05
0.6699215865889202,0.24518942715830014,3.918581253467449e-05,1.2913894927643701e-05
0.7303457728394699,0.20232744181594042,4.175485287039108e-05,1.3789247209519019e-05
0.3710503779407871,0.6676157600698677,1.2357957041818903e-05,8.742232081122016e-05
0.8995833793344131,0.5955436605502094,4.6149744593647225e-05,5.9767928092347703e-05
0.9665460292100987,0.59375,4.8687775977554616e-05,5.921378714055514e-05
0.03345397078990135,0.40625,1.3158904658796738e-06,4.079296240614613e-05
0.09959526439299485,0.4030999831576215,3.8042241340821186e-06,4.0100851146179245e-05
0.3341571816846187,0.9587324340134353,1.292516984091436e-05,9.783366524958282e-05
0.7974558801752129,0.5261042039492903,4.1529285995366104e-05,5.3258564365606715e-05
0.6274071158142613,0.3730539823051743,3.7658119205722066e-05,1.3033387578912092e-05
0.6277628924897682,0.711305732987064,3.702112518690827e-05,8.864301925737358e-05
0.11924420607501121,0.910533285081001,3.291001346131291e-06,9.183569443266035e-05
0.6767144823725127,0.39399152472485394,4.099357206847162e-05,2.2867937057700047e-05
0.30419065867452455,0.8387669078408141,1.0367702947046902e-05,9.047339792737305e-05
0.12269773555537486,0.9552296095260171,3.4496514059643216e-06,9.594898037895586e-05
0.09094203518473579,0.4759738382881166,3.995315790279679e-06,4.7592560025305665e-05
0.03634520426942069,0.9011552283445309,9.55173676630391e-07,9.04286155174957e-05
0.901215769465496,0.10992669045950615,4.734046367704218e-05,1.02748053964643e-05
0.20126966531006263,0.26230346810951083,5.458009222058068e-06,2.228747737036486e-05
0.0439011371442392,0.3276462754206618,1.39446736720643e-06,3.273897571560266e-05
0.8401620503191032,0.0981699562417325,4.542661490026362e-05,8.496532588496448e-06
0.5830115494879635,0.10771652853746363,3.164323224102982e-05,3.918447734312839e-06
0.08108941734815672,0.7555521206534187,2.18539769225067e-06,7.622275915930138e-05
0.032278630798778546,0.78125,8.525006293921589e-07,7.842521385190305e-05
0.09896530132657796,0.8383286670232329,2.618105847579867e-06,8.475819094153185e-05
0.536148595778825,0.3298230015257787,2.8847147977697146e-05,4.861469353630217e-06
0.9679646419037103,0.4057886397469946,4.874146742097781e-05,4.074834870225547e-05
0.9684211984286257,0.46875,4.861182618333075e-05,4.696293735279018e-05
0.9010750587457096,0.41048260685684484,4.6137594516724664e-05,4.087656429975377e-05
